%time,field.header.seq,field.header.stamp,field.header.frame_id,field.actuate,field.body_name.data,field.use_offset,field.body_offset.position.x,field.body_offset.position.y,field.body_offset.position.z,field.body_offset.orientation.x,field.body_offset.orientation.y,field.body_offset.orientation.z,field.body_offset.orientation.w,field.use_sensor_data,field.sensor_identifier.data
1682978027573815339,4711,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027581805959,4712,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027590345711,4713,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027600181898,4714,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027606841891,4715,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027622512324,4716,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027622523462,4717,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027634731357,4718,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027641554474,4719,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027647373271,4720,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027657697041,4721,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027667082785,4722,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027675647125,4723,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027683844537,4724,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027689922759,4725,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027699103484,4726,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027706344395,4727,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027717697760,4728,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027727188103,4729,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027731256424,4730,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027740656664,4731,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027747885715,4732,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027759964319,4733,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027764956098,4734,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027773821858,4735,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027786586017,4736,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027790036311,4737,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027799896043,4738,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027806733469,4739,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027818236346,4740,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027825661069,4741,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027833258354,4742,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027839995428,4743,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027848254353,4744,0,,1,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027860800706,4745,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027867271967,4746,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027874383607,4747,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978027881986203,4748,0,,0,Needle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
